PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
7;7401;LINARES;1.394;298.335;2.758;588.129;4.152;886.464;4.326;907.930;5.168;1.088.570;9.494;1.996.500;5.720;1.206.265;7.926;1.676.698;13.646;2.882.964;
7;7402;COLBUN;325;69.324;736;157.400;1.061;226.723;1.024;216.911;868;184.765;1.892;401.676;1.349;286.235;1.604;342.164;2.953;628.399;
7;7403;LONGAVI;691;147.980;1.058;222.397;1.749;370.377;1.454;308.694;1.219;257.689;2.673;566.384;2.145;456.674;2.277;480.086;4.422;936.761;
7;7404;PARRAL;843;180.304;1.533;324.504;2.376;504.808;2.022;426.058;2.179;460.469;4.201;886.527;2.865;606.362;3.712;784.973;6.577;1.391.335;
7;7405;RETIRO;395;84.632;743;157.468;1.138;242.099;1.010;214.630;855;180.984;1.865;395.614;1.405;299.261;1.598;338.452;3.003;637.713;
7;7406;SAN JAVIER;646;138.423;1.516;324.359;2.162;462.782;2.341;495.845;2.177;462.201;4.518;958.046;2.987;634.268;3.693;786.560;6.680;1.420.828;
7;7407;VILLA ALEGRE;261;55.911;560;119.624;821;175.536;790;167.266;772;163.620;1.562;330.886;1.051;223.178;1.332;283.244;2.383;506.422;
7;7408;YERBAS BUENAS;331;70.932;518;110.624;849;181.556;826;176.049;674;143.786;1.500;319.834;1.157;246.981;1.192;254.410;2.349;501.390;
16;16101;CHILLAN;2.053;439.368;5.771;1.227.703;7.824;1.667.071;7.246;1.512.010;9.534;1.997.314;16.780;3.509.324;9.299;1.951.378;15.305;3.225.017;24.604;5.176.395;
16;16102;BULNES;384;82.290;914;194.138;1.298;276.428;952;199.969;1.085;229.885;2.037;429.853;1.336;282.258;1.999;424.023;3.335;706.281;
16;16103;CHILLAN VIEJO;225;48.136;549;116.945;774;165.080;771;162.622;855;181.290;1.626;343.911;996;210.757;1.404;298.234;2.400;508.992;
16;16104;EL CARMEN;547;117.220;686;146.626;1.233;263.846;367;77.552;402;84.729;769;162.280;914;194.771;1.088;231.354;2.002;426.126;
16;16105;PEMUCO;161;34.502;347;72.689;508;107.191;311;66.166;274;57.494;585;123.660;472;100.668;621;130.183;1.093;230.850;
16;16106;PINTO;313;66.968;518;110.052;831;177.020;402;85.057;420;88.526;822;173.583;715;152.025;938;198.578;1.653;350.603;
16;16107;QUILLON;511;109.440;943;201.890;1.454;311.331;792;164.628;764;162.596;1.556;327.224;1.303;274.068;1.707;364.487;3.010;638.555;
16;16108;SAN IGNACIO;512;109.696;822;174.893;1.334;284.589;562;119.577;537;113.456;1.099;233.033;1.074;229.274;1.359;288.349;2.433;517.622;
16;16109;YUNGAY;298;63.847;768;163.728;1.066;227.576;832;175.421;812;172.162;1.644;347.584;1.130;239.269;1.580;335.890;2.710;575.159;
16;16201;QUIRIHUE;327;69.769;530;113.386;857;183.155;545;114.567;606;127.786;1.151;242.353;872;184.336;1.136;241.172;2.008;425.508;
16;16202;COBQUECURA;295;63.143;345;73.724;640;136.867;172;36.317;188;39.779;360;76.096;467;99.460;533;113.502;1.000;212.963;
